"Submission ID","Respondent ID","Submitted at","Untitled checkboxes field","Untitled checkboxes field (我同意我的回答做為研究和設計使用)","選擇一種動物來代表你/妳自己（什麼都可以）：","你/妳在哪所大學念書？","如果你/妳的學校未列出，請在此處寫下：","你/妳的學習階段：","你/妳的學習科系：","你/妳現在的學歷狀態是什麼？","你/妳來自哪個國家？","你/妳是哪裡的？","你/妳幾歲？","如果你/妳懷疑你/妳要買的番茄可能是由強迫勞工（現代奴隸）採摘的，你/妳仍然會買它嗎？","你/妳會買哪一種番茄？","你/妳關心食安嗎？","你/妳會買哪種雞蛋？","你/妳買哪種牛奶？","你/妳7年內買車嗎？🚘","你/妳7年內買房嗎？🏡","你/妳購物時知道產品環保嗎？","你/妳有信任的品牌嗎？","你/妳覺得認證環保的公司更好嗎？","你/妳支持肉稅嗎？","你/妳關心食用雞的生活嗎？","你/妳避免吃肉嗎？","你/妳有沒有抵制過某公司？","為什麼抵制？","你/妳覺得你/妳花錢會影響環境嗎？","你/妳會對金錢感到焦慮嗎？","你/妳會對金錢很節儉嗎？","你/妳會經常存錢嗎？","你/妳對自己的財務知識滿意嗎？","你/妳覺得目前有任何投資嗎？","你/妳有投資經驗如何？","你/妳選哪個投資？","你/妳投資會考慮環保嗎？","你/妳覺得台灣的經濟目標是增長嗎？","你/妳覺台灣的得環境退化是台灣的經濟增長的前提嗎？","你/妳覺得台灣的經濟增長有助於保護環境嗎？","你/妳覺得經濟能不排CO2也增長嗎？","你/妳覺得經濟增長有物質限制嗎？","你/妳會每天都用AI嗎？","你/妳會信任AI嗎？","你/妳想要AI扮什麼角色？","其他","你/妳想要AI有個造型嗎？","你/妳喜歡如何與AI溝通？","你/妳喜歡待在大自然嗎？","你/妳擔心氣候變化嗎？","你/妳對環境污染情況會感到焦慮嗎？","你/妳知道許多植物和動物的名字嗎？","你/妳覺得如何依照生態系對環境惡化的敏感度來排名？","你/妳感覺自己和大自然很接近嗎？","你/妳努力實踐低碳生活嗎？","誰或什麼對你/妳環保態度影響最大的？","你/妳想做更多環保事嗎？","你/妳對環境相關政治議題有興趣嗎？","你/妳怎去學校？","你/妳今年（2025年）搭飛機幾次？✈️","* 例如搭飛機會產生碳排放，可以購買碳抵消來種樹","你/妳信任碳排放抵消額度嗎？","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些?","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看產品的運輸距離（是不是當地食品）)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司生產過程多環保)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司工人的員工福利多好)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看AI摘要的消費者對公司環保的評論)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (用社交網絡認識其他環保的同學)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解哪些產品污染最嚴重，以便避免它們)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (每個月查看我自己的環保分數報告（了解我用錢的方式多環保）)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先尋找有機產品)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (跟我的AI幫手討論環保問題)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看公司的環保認證和生態評分)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (如何讓我支持的公司更環保)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解我吃的動物性食品，動物的生活環境)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (老實說我對任何環保資訊都沒有太多興趣)","想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前比較公司的環保表現)","其他選項","每月你/妳願意支付多少錢讓AI陪伴你/妳做更環保的財務決策？","你/妳的環保行動對環境保護有效果嗎？","你/妳想在行業內推環保嗎？","你/妳得自己對新觀念開放嗎？","你/妳的大學對可環保性支持嗎？","你/妳覺得大學生如何影響公司的可持續行為？","你/妳有加入過什麼學生社團嗎？（選填）","你/妳最擔心什麼？（任何問題都可以，選填）","啟發你/妳的是？（什麼都可以，選填）","你/妳的MBTI？（選填）","有意見（選填）？"
"ZNxlOa","6ZNAGB","2023-10-08 03:21:17","我同意我的回答做為研究和設計使用",true,"Pikachu",,"Not studying","學士","Accounting, finance, law","我已經畢業了啦！","其他的國家（選擇）","New Zealand",34,1,"價格：500 台幣 / 公斤。強迫勞工的概率：5%",5,"價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞","價格：72 台幣",3,3,3,"Most trusty seeming are small suppliers rather than big brands, eg flea market growers",4,2,4,2,"有","Treatment of workers or company policy",4,1,4,5,5,"有","Some","ESG環保投資基金。年化回報 2-7%",4,3,3,3,4,5,3,4,"助手, 幫手, 夥伴, 導師, 老師, 教練, 朋友",,3,"Speech",5,5,4,1,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",4,4,"Convenience",5,5,"汽車",3,"沒有",1,"買東西先查看產品的運輸距離（是不是當地食品）, 投資前查看AI摘要的消費者對公司環保的評論, 投資前比較公司的環保表現, 如何讓我支持的公司更環保",true,false,false,true,false,false,false,false,false,false,true,false,false,true,"On next question, ai more likely to be free than to cost ie give up your data so company monetize data","如果免費的話我會用它",3,5,4,3,"They're the future of companies",,,,,"Good luck😊"
"OA4NdR","ea2bVe","2023-10-14 08:59:10","我同意我的回答做為研究和設計使用",true,"狗","國立清華大學 National Tsing Hua University (NTHU)",,"學士","運動科學","我還在就讀！","我是台灣人啊 🇹🇼！",,18,3,"價格：500 台幣 / 公斤。強迫勞工的概率：5%",4,"價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞","價格：108 台幣",4,4,3,"勝利",4,3,3,1,"沒有",,4,2,2,2,3,"沒有","無","股市基金。年化回報 5-15%",3,4,2,3,3,3,3,3,"助手, 幫手, 老師, 朋友, 導師, 夥伴, 教練",,4,"聊天",4,4,4,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4,3,"朋友",4,3,"公車",3,"沒有",3,"投資前查看AI摘要的消費者對公司環保的評論",false,false,false,true,false,false,false,false,false,false,false,false,false,false,,"每月49台幣",4,2,4,4,"無",,,,,
"OAXMyR","l675YX","2023-10-15 05:24:31","我同意我的回答做為研究和設計使用",true,"鯉魚",,"一貫道崇德學院","碩士","一貫道研究所","我還在就讀！","其他的國家（選擇）","越南",28,4,"價格：500 台幣 / 公斤。強迫勞工的概率：5%",2,"價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞","價格：72 台幣",1,1,2,"無",4,1,1,5,"沒有",,4,2,4,1,1,"沒有","無","股市基金。年化回報 5-15%",3,3,4,4,1,4,1,3,"幫手, 助手, 朋友, 教練, 老師, 導師, 夥伴",,4,"講話",5,4,4,1,"濕地, 草原, 熱帶雨林, 珊瑚礁, 沙漠",4,3,"家庭",4,4,"走路",0,"沒有",3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看公司的環保認證和生態評分",true,false,false,false,false,false,false,false,false,true,false,true,false,false,,"如果免費的話我會用它",4,3,4,4,"未想到","無","未畢業","道","INFJ",
"VZPeMJ","RDJlej","2023-10-15 05:30:06","我同意我的回答做為研究和設計使用",true,"小粉豬","東吳大學 Soochow University (SCU)",,"學士","財務工程與精算數學系","我還在就讀！","我是台灣人啊 🇹🇼！",,18,2,"價格：500 台幣 / 公斤。強迫勞工的概率：5%",4,"價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊","價格：85 台幣",3,2,4,"里仁",4,1,5,5,"沒有",,4,4,3,5,3,"沒有","沒有","ESG環保投資基金。年化回報 2-7%",2,3,4,2,2,3,1,3,"朋友, 夥伴, 助手, 幫手, 教練, 老師, 導師",,3,"輕鬆地溝通",5,5,5,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,4,"規定",4,2,"走路, 摩托車, 腳踏車, 公車, 捷運",0,"沒有",2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們",true,false,false,false,false,true,false,false,false,false,false,false,false,false,,"每月49台幣",3,3,4,4,"沒有想法",,"氣候變得不分明",,,
"eBrV8o","pD71p1","2023-10-15 06:05:03","我同意我的回答做為研究和設計使用",true,"Conejita","國立成功大學 National Cheng Kung University (NCKU)",,"碩士","藝術研究所","我已經畢業了啦！","我是台灣人啊 🇹🇼！",,32,1,"價格：500 台幣 / 公斤。強迫勞工的概率：5%",4,"價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊","價格：72 台幣",2,1,3,"義美",4,1,4,5,"有","中國資金",4,5,5,4,2,"沒有","很少","ESG環保投資基金。年化回報 2-7%",3,2,4,2,4,3,2,2,"幫手, 助手, 夥伴, 朋友, 老師, 導師, 教練",,2,"不喜歡",4,5,5,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4,5,"情人",5,3,"機車",2,"沒有",4,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分, 投資前查看AI摘要的消費者對公司環保的評論, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 如何讓我支持的公司更環保, 跟我的AI幫手討論環保問題",true,true,true,true,false,true,true,true,true,true,true,true,false,true,,"如果免費的話我會用它",4,4,5,3," ","國際學生","戰爭、人們不再相愛、世界末日","熱忱","不知道",
"zKMV58","O7Jer7","2023-10-15 06:52:36","我同意我的回答做為研究和設計使用",true,"貓","經國管理暨健康學院 Ching Kuo Institute of Management and Health (CKIMH)",,"學士","護理","我還在就讀！","我是台灣人啊 🇹🇼！",,19,2,"價格：500 台幣 / 公斤。強迫勞工的概率：5%",4,"價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊","價格：85 台幣",1,1,4,"有",4,3,4,3,"沒有",,3,4,3,4,2,"沒有","無","股市基金。年化回報 5-15%",3,4,4,3,3,4,1,3,"助手, 幫手, 老師, 朋友, 夥伴, 教練, 導師",,3,"很少和Ai溝通",4,4,3,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,3,"身邊的人",4,3,"公車, 客運, 汽車",2,"沒有",3,"跟我的AI幫手討論環保問題, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論",true,false,false,true,false,true,false,false,true,false,false,true,false,false,,"每月299台幣",4,4,4,4,"提供有效方案，以及大眾可接受的新穎提議","無","核電廠爆掉","？","INTJ","沒有"
"pLDby1","5ZGaV6","2023-10-15 08:53:03","我同意我的回答做為研究和設計使用",true,"長頸鹿",,"崇德學院研究所","碩士","哲學","我還在就讀！","我是台灣人啊 🇹🇼！",,50,2,"價格：500 台幣 / 公斤。強迫勞工的概率：5%",5,"價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞","價格：85 台幣",3,2,5,"光泉",5,5,2,5,"沒有",,4,3,2,4,4,"有","基金27年","股市基金。年化回報 5-15%",2,4,4,3,5,3,4,4,"助手, 幫手, 夥伴, 朋友, 教練, 老師, 導師",,3,"協助處理問題",5,5,5,5,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",4,3,"氣候暖化",4,5,"汽車",1,"沒有",3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現",true,true,false,true,false,false,false,false,false,true,false,false,false,true,,"每月99台幣",3,5,5,5,"透過可接受公評的評鑒行為，集體發聲成為力量","書法社、國樂社","地球暖化造成的氣候變遷","環保意識的抬頭，剝削行為的重視","不知道","非常好的研究，請堅持下去"
"aB22jX","19JjdQ","2023-10-15 11:41:25","我同意我的回答做為研究和設計使用",true,"烏龜","東海大學 Tunghai University (THU)",,"學士","美術","我還在就讀！","我是台灣人啊 🇹🇼！",,19,2,"價格：500 台幣 / 公斤。強迫勞工的概率：5%",3,"價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊","價格：72 台幣",1,1,3,"Net",4,5,3,5,"沒有",,4,5,3,3,1,"沒有","無","政府債券。年化回報 2-3%",2,3,4,3,3,4,2,2,"朋友, 夥伴, 助手, 幫手, 老師, 導師, 教練",,1,"喜歡把問句重複修改到他的回答變得比較不像機器人為止",3,4,3,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,2,"不知道",3,2,"公車",0,"沒有",4,"跟我的AI幫手討論環保問題",false,false,false,false,false,false,false,false,true,false,false,false,false,false,,"如果免費的話我會用它",2,2,3,3,"不知道","無","電費",,"INTP",
"1r9lRM","O7JOj8","2023-10-15 13:02:37","我同意我的回答做為研究和設計使用",true,"松鼠","國立雲林科技大學 National Yunlin University of Science and Technology (YunTech, NYUST)",,"學士","國際管理學士學程","我還在就讀！","我是台灣人啊 🇹🇼！",,18,2,"價格：500 台幣 / 公斤。強迫勞工的概率：5%",3,"價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊","價格：85 台幣",4,2,3,"有 ",4,5,1,5,"有","黑心油",4,3,3,3,3,"沒有","無","ESG環保投資基金。年化回報 2-7%",4,4,2,3,2,2,2,3,"助手, 幫手, 夥伴, 朋友, 教練, 導師, 老師",,2,"訊息 或聲音",3,5,4,3,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",2,4,"新聞",4,3,"腳踏車",0,"沒有",3,"每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",false,false,false,false,false,false,true,false,false,false,false,false,false,false,,"如果免費的話我會用它",3,3,4,4,"做報告分析","羽毛球 ",,,"ENFJ",
"PAzQge","vPx4VX","2023-10-15 22:44:20","我同意我的回答做為研究和設計使用",true,"貓","美和科技大學 Meiho University (MU)",,"學士","護理系","我還在就讀！","我是台灣人啊 🇹🇼！",,17,3,"價格：500 台幣 / 公斤。強迫勞工的概率：5%",4,"價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞","價格：72 台幣",3,3,4,"義美",5,2,4,1,"沒有",,4,2,2,2,4,"沒有","無","加密貨幣。高度變動性，每年最高可達 50% 或更多",4,1,1,4,2,4,2,2,"助手, 幫手, 導師, 老師, 教練, 夥伴, 朋友",,4,"3",4,4,5,3,"珊瑚礁, 草原, 濕地, 熱帶雨林, 沙漠",3,3,"用電",4,2,"公車, 其他",5,"沒有",3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們",true,false,false,false,false,true,false,false,false,false,false,false,false,false,,"我不懂AI如何幫助我",3,2,5,5,"無","籃球社","兩岸關係","無","INTJ",
